stim1,stim2,stim3,stim4
stimuli\Z2\42.png,stimuli\Z2\144.png,stimuli\Z2\51.png,stimuli\Z2\154.png
stimuli\Z3\60.png,stimuli\Z3\28.png,stimuli\Z3\46.png,stimuli\Z3\96.png
stimuli\Z2\119.png,stimuli\Z2\131.png,stimuli\Z2\76.png,stimuli\Z2\108.png
stimuli\Z2\115.png,stimuli\Z2\73.png,stimuli\Z2\27.png,stimuli\Z2\70.png
stimuli\Z2\132.png,stimuli\Z2\151.png,stimuli\Z2\24.png,stimuli\Z2\44.png
stimuli\Z2\144.png,stimuli\Z2\154.png,stimuli\Catch\7.png,stimuli\Z2\144.png
stimuli\Z3\61.png,stimuli\Z3\134.png,stimuli\Z3\2.png,stimuli\Z3\37.png
stimuli\Z3\48.png,stimuli\Z3\104.png,stimuli\Z3\29.png,stimuli\Z3\49.png
stimuli\Z2\137.png,stimuli\Z2\79.png,stimuli\Z2\121.png,stimuli\Z2\156.png
stimuli\Z3\68.png,stimuli\Z3\0.png,stimuli\Z3\117.png,stimuli\Z3\26.png
stimuli\Z3\98.png,stimuli\Z3\93.png,stimuli\Z3\54.png,stimuli\Z3\83.png
stimuli\Catch\16.png,stimuli\Z2\144.png,stimuli\Z3\26.png,stimuli\Z2\79.png
stimuli\Z2\102.png,stimuli\Z2\91.png,stimuli\Z2\105.png,stimuli\Z2\82.png
stimuli\Z3\16.png,stimuli\Z3\148.png,stimuli\Z3\10.png,stimuli\Z3\88.png
stimuli\Z2\140.png,stimuli\Z2\34.png,stimuli\Z2\112.png,stimuli\Z2\13.png
stimuli\Z3\125.png,stimuli\Z3\15.png,stimuli\Z3\5.png,stimuli\Z3\128.png
stimuli\Z2\79.png,stimuli\Catch\13.png,stimuli\Catch\7.png,stimuli\Z2\154.png
stimuli\Z3\137.png,stimuli\Z3\79.png,stimuli\Z3\121.png,stimuli\Z3\156.png
stimuli\Z2\16.png,stimuli\Z2\148.png,stimuli\Z2\10.png,stimuli\Z2\88.png
stimuli\Z3\102.png,stimuli\Z3\91.png,stimuli\Z3\105.png,stimuli\Z3\82.png
stimuli\Z3\143.png,stimuli\Z3\52.png,stimuli\Z3\122.png,stimuli\Z3\86.png
stimuli\Z2\79.png,stimuli\Catch\5.png,stimuli\Z2\13.png,stimuli\Catch\13.png
stimuli\Z2\146.png,stimuli\Z2\23.png,stimuli\Z2\111.png,stimuli\Z2\66.png
stimuli\Z2\22.png,stimuli\Z2\157.png,stimuli\Z2\63.png,stimuli\Z2\71.png
